anime_index,related_anime_indices,related_anime_title
57,56|57|153|1746|3857|6694|9421|10850|11995|12643,Magical Girl Lyrical Nanoha | Magical Girl Lyrical Nanoha A's |  | Magical Girl Lyrical Nanoha StrikerS |  |  |  |  | 
58,58|1672,Shuffle! | 
59,59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|780|990|991|992|1107|1132|1747|1748|1769|2079|2081|2102|2103|2107|2191|2370|2481|2527|2937|3180|3386|3412|3413|3567|3705|4059|4104|4293|4543|4560|4890|4907|4958|5316|5544|5621|5661|5871|6285|6394|7088|7719|7739|7899|8201|8323|8891|9141|9224|9739|10895|10970|11207|11544|11624|11704|11807|12411|12481|12922|13307|13602,Mobile Suit Gundam | Mobile Suit Gundam: The 08th MS Team | Mobile Suit Gundam 0080: War in the Pocket |  | Mobile Suit Gundam 0083: Stardust Memory | Mobile Suit Zeta Gundam | Mobile Suit Gundam ZZ | Mobile Suit Gundam: Char's Counterattack | Mobile Suit Gundam F91 | Mobile Suit V Gundam | Mobile Suit Gundam Wing | After War Gundam X | Mobile Suit Gundam SEED |  | ∀ Gundam | Mobile Fighter G Gundam | Mobile Suit Gundam SEED MSV Astray |  |  |  |  | Mobile Suit Gundam SEED Destiny Final Plus: The Chosen Future |  |  |  |  | Mobile Suit Gundam Wing: Endless Waltz | Mobile Suit Gundam SEED Destiny Special Edition |  |  |  | Mobile Suit Gundam 00 |  | Gundam Evolve | Mobile Suit Gundam Wing: Operation Meteor |  | Gundam: Mission To The Rise | All That Gundam |  | Mobile Suit Gundam Unicorn | Ring of Gundam |  |  |  |  |  |  | Portrait of the Red |  | Gundam Reconguista in G |  |  |  | 
60,59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|780|990|991|992|1107|1132|1747|1748|1769|2079|2081|2102|2103|2191|2370|2481|2527|2937|3180|3386|3412|3413|3567|3705|4104|4293|4543|4560|4890|4958|5316|5544|5871|6285|6394|7088|7719|7739|8323|8891|9141|10895|10970|11207|11544|11624|11704|11807|12411|12481|12922|13307|13602,Mobile Suit Gundam | Mobile Suit Gundam: The 08th MS Team | Mobile Suit Gundam 0080: War in the Pocket |  | Mobile Suit Gundam 0083: Stardust Memory | Mobile Suit Zeta Gundam | Mobile Suit Gundam ZZ | Mobile Suit Gundam: Char's Counterattack | Mobile Suit Gundam F91 | Mobile Suit V Gundam | Mobile Suit Gundam Wing | After War Gundam X | Mobile Suit Gundam SEED |  | ∀ Gundam | Mobile Fighter G Gundam | Mobile Suit Gundam SEED MSV Astray |  |  |  |  | Mobile Suit Gundam SEED Destiny Final Plus: The Chosen Future |  |  |  |  | Mobile Suit Gundam Wing: Endless Waltz | Mobile Suit Gundam SEED Destiny Special Edition |  |  | Mobile Suit Gundam 00 |  | Gundam Evolve | Mobile Suit Gundam Wing: Operation Meteor |  | Gundam: Mission To The Rise |  | Mobile Suit Gundam Unicorn | Ring of Gundam |  |  |  | Portrait of the Red |  | Gundam Reconguista in G |  |  |  | 
61,59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|780|990|991|992|1107|1132|1747|1748|1769|2079|2081|2102|2103|2191|2370|2481|2527|2937|3180|3386|3412|3413|3567|3705|4104|4543|4560|4890|4958|5316|5544|5871|6285|6394|7088|7719|7739|8323|8891|9141|10895|10970|11207|11544|11624|11704|11807|12411|12481|12922|13307|13602,Mobile Suit Gundam | Mobile Suit Gundam: The 08th MS Team | Mobile Suit Gundam 0080: War in the Pocket |  | Mobile Suit Gundam 0083: Stardust Memory | Mobile Suit Zeta Gundam | Mobile Suit Gundam ZZ | Mobile Suit Gundam: Char's Counterattack | Mobile Suit Gundam F91 | Mobile Suit V Gundam | Mobile Suit Gundam Wing | After War Gundam X | Mobile Suit Gundam SEED |  | ∀ Gundam | Mobile Fighter G Gundam | Mobile Suit Gundam SEED MSV Astray |  |  |  |  | Mobile Suit Gundam SEED Destiny Final Plus: The Chosen Future |  |  |  |  | Mobile Suit Gundam Wing: Endless Waltz | Mobile Suit Gundam SEED Destiny Special Edition |  |  | Mobile Suit Gundam 00 |  | Gundam Evolve | Mobile Suit Gundam Wing: Operation Meteor |  | Gundam: Mission To The Rise |  | Mobile Suit Gundam Unicorn | Ring of Gundam |  |  |  | Portrait of the Red |  | Gundam Reconguista in G |  |  |  | 
62,59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|780|990|991|992|1107|1132|1747|1748|1769|2079|2081|2102|2103|2191|2370|2481|2527|2937|3180|3386|3412|3413|3567|3705|4104|4543|4560|4890|4958|5316|5544|5871|6285|6394|7088|7719|7739|8323|8891|9141|10895|10970|11207|11544|11624|11704|11807|12411|12481|12922|13307|13602,Mobile Suit Gundam | Mobile Suit Gundam: The 08th MS Team | Mobile Suit Gundam 0080: War in the Pocket |  | Mobile Suit Gundam 0083: Stardust Memory | Mobile Suit Zeta Gundam | Mobile Suit Gundam ZZ | Mobile Suit Gundam: Char's Counterattack | Mobile Suit Gundam F91 | Mobile Suit V Gundam | Mobile Suit Gundam Wing | After War Gundam X | Mobile Suit Gundam SEED |  | ∀ Gundam | Mobile Fighter G Gundam | Mobile Suit Gundam SEED MSV Astray |  |  |  |  | Mobile Suit Gundam SEED Destiny Final Plus: The Chosen Future |  |  |  |  | Mobile Suit Gundam Wing: Endless Waltz | Mobile Suit Gundam SEED Destiny Special Edition |  |  | Mobile Suit Gundam 00 |  | Gundam Evolve | Mobile Suit Gundam Wing: Operation Meteor |  | Gundam: Mission To The Rise |  | Mobile Suit Gundam Unicorn | Ring of Gundam |  |  |  | Portrait of the Red |  | Gundam Reconguista in G |  |  |  | 
63,59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|780|990|991|992|1107|1132|1747|1748|1769|2079|2081|2102|2103|2191|2370|2481|2527|2937|3180|3386|3412|3413|3567|3705|4104|4543|4560|4890|4958|5316|5544|5871|6285|6394|7088|7719|7739|8323|8891|9141|10895|10970|11207|11544|11624|11704|11807|12411|12481|12922|13307|13602,Mobile Suit Gundam | Mobile Suit Gundam: The 08th MS Team | Mobile Suit Gundam 0080: War in the Pocket |  | Mobile Suit Gundam 0083: Stardust Memory | Mobile Suit Zeta Gundam | Mobile Suit Gundam ZZ | Mobile Suit Gundam: Char's Counterattack | Mobile Suit Gundam F91 | Mobile Suit V Gundam | Mobile Suit Gundam Wing | After War Gundam X | Mobile Suit Gundam SEED |  | ∀ Gundam | Mobile Fighter G Gundam | Mobile Suit Gundam SEED MSV Astray |  |  |  |  | Mobile Suit Gundam SEED Destiny Final Plus: The Chosen Future |  |  |  |  | Mobile Suit Gundam Wing: Endless Waltz | Mobile Suit Gundam SEED Destiny Special Edition |  |  | Mobile Suit Gundam 00 |  | Gundam Evolve | Mobile Suit Gundam Wing: Operation Meteor |  | Gundam: Mission To The Rise |  | Mobile Suit Gundam Unicorn | Ring of Gundam |  |  |  | Portrait of the Red |  | Gundam Reconguista in G |  |  |  | 
64,59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|780|990|991|992|1107|1132|1747|1748|1769|2079|2081|2102|2103|2191|2370|2481|2527|2937|3180|3386|3412|3413|3567|3705|4104|4543|4560|4890|4958|5316|5544|5871|6285|6394|7088|7719|7739|8323|8891|9141|10895|10970|11207|11544|11624|11704|11807|12411|12481|12922|13307|13602,Mobile Suit Gundam | Mobile Suit Gundam: The 08th MS Team | Mobile Suit Gundam 0080: War in the Pocket |  | Mobile Suit Gundam 0083: Stardust Memory | Mobile Suit Zeta Gundam | Mobile Suit Gundam ZZ | Mobile Suit Gundam: Char's Counterattack | Mobile Suit Gundam F91 | Mobile Suit V Gundam | Mobile Suit Gundam Wing | After War Gundam X | Mobile Suit Gundam SEED |  | ∀ Gundam | Mobile Fighter G Gundam | Mobile Suit Gundam SEED MSV Astray |  |  |  |  | Mobile Suit Gundam SEED Destiny Final Plus: The Chosen Future |  |  |  |  | Mobile Suit Gundam Wing: Endless Waltz | Mobile Suit Gundam SEED Destiny Special Edition |  |  | Mobile Suit Gundam 00 |  | Gundam Evolve | Mobile Suit Gundam Wing: Operation Meteor |  | Gundam: Mission To The Rise |  | Mobile Suit Gundam Unicorn | Ring of Gundam |  |  |  | Portrait of the Red |  | Gundam Reconguista in G |  |  |  | 
65,59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|780|990|991|992|1107|1132|1747|1748|1769|2079|2081|2102|2103|2191|2370|2481|2527|2937|3180|3386|3412|3413|3567|3705|4104|4543|4560|4890|4958|5316|5544|5871|6285|6394|7088|7719|7739|8323|8891|9141|10895|10970|11207|11544|11624|11704|11807|12411|12481|12922|13307|13602,Mobile Suit Gundam | Mobile Suit Gundam: The 08th MS Team | Mobile Suit Gundam 0080: War in the Pocket |  | Mobile Suit Gundam 0083: Stardust Memory | Mobile Suit Zeta Gundam | Mobile Suit Gundam ZZ | Mobile Suit Gundam: Char's Counterattack | Mobile Suit Gundam F91 | Mobile Suit V Gundam | Mobile Suit Gundam Wing | After War Gundam X | Mobile Suit Gundam SEED |  | ∀ Gundam | Mobile Fighter G Gundam | Mobile Suit Gundam SEED MSV Astray |  |  |  |  | Mobile Suit Gundam SEED Destiny Final Plus: The Chosen Future |  |  |  |  | Mobile Suit Gundam Wing: Endless Waltz | Mobile Suit Gundam SEED Destiny Special Edition |  |  | Mobile Suit Gundam 00 |  | Gundam Evolve | Mobile Suit Gundam Wing: Operation Meteor |  | Gundam: Mission To The Rise |  | Mobile Suit Gundam Unicorn | Ring of Gundam |  |  |  | Portrait of the Red |  | Gundam Reconguista in G |  |  |  | 
66,59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|780|990|991|992|1107|1132|1747|1748|1769|2079|2081|2102|2103|2191|2370|2481|2527|2937|3180|3386|3412|3413|3567|3705|4104|4543|4560|4890|4958|5316|5544|5871|6285|6394|7088|7719|7739|8323|8891|9141|10895|10970|11207|11544|11624|11704|11807|12411|12481|12922|13307|13602,Mobile Suit Gundam | Mobile Suit Gundam: The 08th MS Team | Mobile Suit Gundam 0080: War in the Pocket |  | Mobile Suit Gundam 0083: Stardust Memory | Mobile Suit Zeta Gundam | Mobile Suit Gundam ZZ | Mobile Suit Gundam: Char's Counterattack | Mobile Suit Gundam F91 | Mobile Suit V Gundam | Mobile Suit Gundam Wing | After War Gundam X | Mobile Suit Gundam SEED |  | ∀ Gundam | Mobile Fighter G Gundam | Mobile Suit Gundam SEED MSV Astray |  |  |  |  | Mobile Suit Gundam SEED Destiny Final Plus: The Chosen Future |  |  |  |  | Mobile Suit Gundam Wing: Endless Waltz | Mobile Suit Gundam SEED Destiny Special Edition |  |  | Mobile Suit Gundam 00 |  | Gundam Evolve | Mobile Suit Gundam Wing: Operation Meteor |  | Gundam: Mission To The Rise |  | Mobile Suit Gundam Unicorn | Ring of Gundam |  |  |  | Portrait of the Red |  | Gundam Reconguista in G |  |  |  | 
