anime_index,related_anime_indices,related_anime_title
2429,468|871|1989|2192|2193|2247|2268|2413|2415|2417|2418|2420|2421|2422|2423|2425|2426|2428|2429|2431|2435|2437|2441|2442|2443|2444|2445|2446|2448|2449|2450|2451|2452|2453|2454|2455|2456|2457|2458|2459|2460|2461|2462|2463|2464|3245|3255|3256|3332|3964|4514|4603|4826|4859|4883|5346|5347|5348|5349|5350|5351|5352|5353|5354|5355|5356|5357|5486|5917|6081|6264|6480|6778|7360|7512|7600|8127|8449|8466|9337|9632|10875|11209|12010|12017|12340|12371|12657|13181|13201|13230|13669," |  | Doraemon the Movie: Nobita and the Windmasters | Doraemon |  |  |  |  |  |  |  |  |  | Doraemon: It's Winter! |  |  |  | Doraemon the Movie: Nobita and the Winged Braves | Doraemon the Movie: Nobita in the Robot Kingdom | Doraemon the Movie: Nobita in the Wan-Nyan Spacetime Odyssey | Doraemon the Movie: Nobita and the Knights on Dinosaurs | Doraemon the Movie: The Record of Nobita's Parallel Visit to the West | Doraemon the Movie: Nobita and the Tin Labyrinth | Doraemon the Movie: Nobita and the Kingdom of Clouds | Doraemon the Movie: The Records of Nobita, Spaceblazer | Doraemon the Movie: Nobita's Great Adventure in the South Seas | Doraemon the Movie: Nobita and the Steel Troops | Doraemon the Movie: Nobita and the Birth of Japan | Doraemon the Movie: Nobita and the Castle of the Undersea Devil | Doraemon the Movie: Nobita Drifts in the Universe | Doraemon the Movie: Nobita's Little Space War | Doraemon the Movie: Nobita's Dorabian Nights | Doraemon the Movie: Nobita and the Haunts of Evil | Doraemon the Movie: Nobita's Great Adventure into the Underworld | Doraemon the Movie: Nobita's New Great Adventure into the Underworld | Doraemon the Movie: Nobita's Diary of the Creation of the World | Doraemon the Movie: Nobita and the Galaxy Super-express | Doraemon the Movie: Nobita's Three Visionary Swordsmen | Doraemon the Movie: Nobita and the Animal Planet | Doraemon the Movie: Nobita and the Spiral City | Doraemon the Movie: Nobita's Dinosaur |  | Crayon Shin-Chan: Den-O vs. Shin-O | Doraemon the Movie: Nobita and the Green Giant Legend |  |  |  |  |  |  |  |  |  |  | Crayon Shin-chan: Serious Battle! Robot Dad Strikes Back |  | Crayon Shin-chan: Fast Asleep! The Great Assault on the Dreaming World! | Doraemon the Movie 2017: Great Adventure in the Antarctic Kachi Kochi |  |  |  | "
2430,2430,
2431,468|871|1989|2192|2193|2247|2268|2413|2415|2417|2418|2420|2421|2422|2423|2425|2426|2428|2429|2431|2435|2437|2441|2442|2443|2444|2445|2446|2448|2449|2450|2451|2452|2453|2454|2455|2456|2457|2458|2459|2460|2461|2462|2463|2464|3245|3255|3256|3332|3964|4514|4603|4826|4859|4883|5346|5347|5348|5349|5350|5351|5352|5353|5354|5355|5356|5357|5486|5917|6081|6264|6480|6778|7360|7512|7600|8127|8449|8466|9337|9632|10875|11209|12010|12017|12340|12371|12657|13181|13201|13230|13669," |  | Doraemon the Movie: Nobita and the Windmasters | Doraemon |  |  |  |  |  |  |  |  |  | Doraemon: It's Winter! |  |  |  | Doraemon the Movie: Nobita and the Winged Braves | Doraemon the Movie: Nobita in the Robot Kingdom | Doraemon the Movie: Nobita in the Wan-Nyan Spacetime Odyssey | Doraemon the Movie: Nobita and the Knights on Dinosaurs | Doraemon the Movie: The Record of Nobita's Parallel Visit to the West | Doraemon the Movie: Nobita and the Tin Labyrinth | Doraemon the Movie: Nobita and the Kingdom of Clouds | Doraemon the Movie: The Records of Nobita, Spaceblazer | Doraemon the Movie: Nobita's Great Adventure in the South Seas | Doraemon the Movie: Nobita and the Steel Troops | Doraemon the Movie: Nobita and the Birth of Japan | Doraemon the Movie: Nobita and the Castle of the Undersea Devil | Doraemon the Movie: Nobita Drifts in the Universe | Doraemon the Movie: Nobita's Little Space War | Doraemon the Movie: Nobita's Dorabian Nights | Doraemon the Movie: Nobita and the Haunts of Evil | Doraemon the Movie: Nobita's Great Adventure into the Underworld | Doraemon the Movie: Nobita's New Great Adventure into the Underworld | Doraemon the Movie: Nobita's Diary of the Creation of the World | Doraemon the Movie: Nobita and the Galaxy Super-express | Doraemon the Movie: Nobita's Three Visionary Swordsmen | Doraemon the Movie: Nobita and the Animal Planet | Doraemon the Movie: Nobita and the Spiral City | Doraemon the Movie: Nobita's Dinosaur |  | Crayon Shin-Chan: Den-O vs. Shin-O | Doraemon the Movie: Nobita and the Green Giant Legend |  |  |  |  |  |  |  |  |  |  | Crayon Shin-chan: Serious Battle! Robot Dad Strikes Back |  | Crayon Shin-chan: Fast Asleep! The Great Assault on the Dreaming World! | Doraemon the Movie 2017: Great Adventure in the Antarctic Kachi Kochi |  |  |  | "
2432,2432|2441, | Doraemon the Movie: Nobita and the Winged Braves
2433,2433|2461, | Doraemon the Movie: Nobita and the Galaxy Super-express
2434,2434,
2435,468|871|1989|2192|2193|2247|2268|2413|2415|2417|2418|2420|2421|2422|2423|2425|2426|2428|2429|2431|2435|2437|2441|2442|2443|2444|2445|2446|2448|2449|2450|2451|2452|2453|2454|2455|2456|2457|2458|2459|2460|2461|2462|2463|2464|3245|3255|3256|3332|3964|4514|4603|4826|4859|4883|5346|5347|5348|5349|5350|5351|5352|5353|5354|5355|5356|5357|5486|5917|6081|6264|6480|6778|7360|7512|7600|8127|8449|8466|9337|9632|10875|11209|12010|12017|12340|12371|12657|13181|13201|13230|13669," |  | Doraemon the Movie: Nobita and the Windmasters | Doraemon |  |  |  |  |  |  |  |  |  | Doraemon: It's Winter! |  |  |  | Doraemon the Movie: Nobita and the Winged Braves | Doraemon the Movie: Nobita in the Robot Kingdom | Doraemon the Movie: Nobita in the Wan-Nyan Spacetime Odyssey | Doraemon the Movie: Nobita and the Knights on Dinosaurs | Doraemon the Movie: The Record of Nobita's Parallel Visit to the West | Doraemon the Movie: Nobita and the Tin Labyrinth | Doraemon the Movie: Nobita and the Kingdom of Clouds | Doraemon the Movie: The Records of Nobita, Spaceblazer | Doraemon the Movie: Nobita's Great Adventure in the South Seas | Doraemon the Movie: Nobita and the Steel Troops | Doraemon the Movie: Nobita and the Birth of Japan | Doraemon the Movie: Nobita and the Castle of the Undersea Devil | Doraemon the Movie: Nobita Drifts in the Universe | Doraemon the Movie: Nobita's Little Space War | Doraemon the Movie: Nobita's Dorabian Nights | Doraemon the Movie: Nobita and the Haunts of Evil | Doraemon the Movie: Nobita's Great Adventure into the Underworld | Doraemon the Movie: Nobita's New Great Adventure into the Underworld | Doraemon the Movie: Nobita's Diary of the Creation of the World | Doraemon the Movie: Nobita and the Galaxy Super-express | Doraemon the Movie: Nobita's Three Visionary Swordsmen | Doraemon the Movie: Nobita and the Animal Planet | Doraemon the Movie: Nobita and the Spiral City | Doraemon the Movie: Nobita's Dinosaur |  | Crayon Shin-Chan: Den-O vs. Shin-O | Doraemon the Movie: Nobita and the Green Giant Legend |  |  |  |  |  |  |  |  |  |  | Crayon Shin-chan: Serious Battle! Robot Dad Strikes Back |  | Crayon Shin-chan: Fast Asleep! The Great Assault on the Dreaming World! | Doraemon the Movie 2017: Great Adventure in the Antarctic Kachi Kochi |  |  |  | "
2436,2436|4883,Doraemon: A Grandmother's Recollections
2437,468|871|1989|2192|2193|2247|2268|2413|2415|2417|2418|2420|2421|2422|2423|2425|2426|2428|2429|2431|2435|2437|2441|2442|2443|2444|2445|2446|2448|2449|2450|2451|2452|2453|2454|2455|2456|2457|2458|2459|2460|2461|2462|2463|2464|3245|3255|3256|3332|3964|4514|4603|4826|4859|4883|5346|5347|5348|5349|5350|5351|5352|5353|5354|5355|5356|5357|5486|5917|6081|6264|6480|6778|7360|7512|7600|8127|8449|8466|9337|9632|10875|11209|12010|12017|12340|12371|12657|13181|13201|13230|13669," |  | Doraemon the Movie: Nobita and the Windmasters | Doraemon |  |  |  |  |  |  |  |  |  | Doraemon: It's Winter! |  |  |  | Doraemon the Movie: Nobita and the Winged Braves | Doraemon the Movie: Nobita in the Robot Kingdom | Doraemon the Movie: Nobita in the Wan-Nyan Spacetime Odyssey | Doraemon the Movie: Nobita and the Knights on Dinosaurs | Doraemon the Movie: The Record of Nobita's Parallel Visit to the West | Doraemon the Movie: Nobita and the Tin Labyrinth | Doraemon the Movie: Nobita and the Kingdom of Clouds | Doraemon the Movie: The Records of Nobita, Spaceblazer | Doraemon the Movie: Nobita's Great Adventure in the South Seas | Doraemon the Movie: Nobita and the Steel Troops | Doraemon the Movie: Nobita and the Birth of Japan | Doraemon the Movie: Nobita and the Castle of the Undersea Devil | Doraemon the Movie: Nobita Drifts in the Universe | Doraemon the Movie: Nobita's Little Space War | Doraemon the Movie: Nobita's Dorabian Nights | Doraemon the Movie: Nobita and the Haunts of Evil | Doraemon the Movie: Nobita's Great Adventure into the Underworld | Doraemon the Movie: Nobita's New Great Adventure into the Underworld | Doraemon the Movie: Nobita's Diary of the Creation of the World | Doraemon the Movie: Nobita and the Galaxy Super-express | Doraemon the Movie: Nobita's Three Visionary Swordsmen | Doraemon the Movie: Nobita and the Animal Planet | Doraemon the Movie: Nobita and the Spiral City | Doraemon the Movie: Nobita's Dinosaur |  | Crayon Shin-Chan: Den-O vs. Shin-O | Doraemon the Movie: Nobita and the Green Giant Legend |  |  |  |  |  |  |  |  |  |  | Crayon Shin-chan: Serious Battle! Robot Dad Strikes Back |  | Crayon Shin-chan: Fast Asleep! The Great Assault on the Dreaming World! | Doraemon the Movie 2017: Great Adventure in the Antarctic Kachi Kochi |  |  |  | "
2438,2438|2450, | Doraemon the Movie: Nobita's Great Adventure in the South Seas
2439,2439|2442, | Doraemon the Movie: Nobita in the Robot Kingdom
2440,2440|2441,Doraemon: Ganbare! Gian!! | Doraemon the Movie: Nobita and the Winged Braves
2441,468|871|1989|2192|2193|2247|2268|2413|2415|2417|2418|2420|2421|2422|2423|2425|2426|2428|2429|2431|2432|2435|2437|2440|2441|2442|2443|2444|2445|2446|2448|2449|2450|2451|2452|2453|2454|2455|2456|2457|2458|2459|2460|2461|2462|2463|2464|3245|3255|3256|3332|3964|4514|4603|4826|4859|4883|5346|5347|5348|5349|5350|5351|5352|5353|5354|5355|5356|5357|5486|5917|6081|6264|6480|6778|7360|7512|7600|8127|8449|8466|9337|9632|10875|11209|12010|12017|12340|12371|12657|13181|13201|13230|13669," |  | Doraemon the Movie: Nobita and the Windmasters | Doraemon |  |  |  |  |  |  |  |  |  | Doraemon: It's Winter! |  |  |  |  | Doraemon: Ganbare! Gian!! | Doraemon the Movie: Nobita and the Winged Braves | Doraemon the Movie: Nobita in the Robot Kingdom | Doraemon the Movie: Nobita in the Wan-Nyan Spacetime Odyssey | Doraemon the Movie: Nobita and the Knights on Dinosaurs | Doraemon the Movie: The Record of Nobita's Parallel Visit to the West | Doraemon the Movie: Nobita and the Tin Labyrinth | Doraemon the Movie: Nobita and the Kingdom of Clouds | Doraemon the Movie: The Records of Nobita, Spaceblazer | Doraemon the Movie: Nobita's Great Adventure in the South Seas | Doraemon the Movie: Nobita and the Steel Troops | Doraemon the Movie: Nobita and the Birth of Japan | Doraemon the Movie: Nobita and the Castle of the Undersea Devil | Doraemon the Movie: Nobita Drifts in the Universe | Doraemon the Movie: Nobita's Little Space War | Doraemon the Movie: Nobita's Dorabian Nights | Doraemon the Movie: Nobita and the Haunts of Evil | Doraemon the Movie: Nobita's Great Adventure into the Underworld | Doraemon the Movie: Nobita's New Great Adventure into the Underworld | Doraemon the Movie: Nobita's Diary of the Creation of the World | Doraemon the Movie: Nobita and the Galaxy Super-express | Doraemon the Movie: Nobita's Three Visionary Swordsmen | Doraemon the Movie: Nobita and the Animal Planet | Doraemon the Movie: Nobita and the Spiral City | Doraemon the Movie: Nobita's Dinosaur |  | Crayon Shin-Chan: Den-O vs. Shin-O | Doraemon the Movie: Nobita and the Green Giant Legend |  |  |  |  |  |  |  |  |  |  | Crayon Shin-chan: Serious Battle! Robot Dad Strikes Back |  | Crayon Shin-chan: Fast Asleep! The Great Assault on the Dreaming World! | Doraemon the Movie 2017: Great Adventure in the Antarctic Kachi Kochi |  |  |  | "
2442,468|871|1989|2192|2193|2247|2268|2413|2415|2417|2418|2419|2420|2421|2422|2423|2425|2426|2428|2429|2431|2435|2437|2439|2441|2442|2443|2444|2445|2446|2448|2449|2450|2451|2452|2453|2454|2455|2456|2457|2458|2459|2460|2461|2462|2463|2464|3245|3255|3256|3332|3964|4514|4603|4826|4859|4883|5346|5347|5348|5349|5350|5351|5352|5353|5354|5355|5356|5357|5486|5917|6081|6264|6480|6778|7360|7512|7600|8127|8449|8466|9337|9632|10875|11209|12010|12017|12340|12371|12657|13181|13201|13230|13669," |  | Doraemon the Movie: Nobita and the Windmasters | Doraemon |  |  |  |  |  |  |  |  |  |  | Doraemon: It's Winter! |  |  |  |  | Doraemon the Movie: Nobita and the Winged Braves | Doraemon the Movie: Nobita in the Robot Kingdom | Doraemon the Movie: Nobita in the Wan-Nyan Spacetime Odyssey | Doraemon the Movie: Nobita and the Knights on Dinosaurs | Doraemon the Movie: The Record of Nobita's Parallel Visit to the West | Doraemon the Movie: Nobita and the Tin Labyrinth | Doraemon the Movie: Nobita and the Kingdom of Clouds | Doraemon the Movie: The Records of Nobita, Spaceblazer | Doraemon the Movie: Nobita's Great Adventure in the South Seas | Doraemon the Movie: Nobita and the Steel Troops | Doraemon the Movie: Nobita and the Birth of Japan | Doraemon the Movie: Nobita and the Castle of the Undersea Devil | Doraemon the Movie: Nobita Drifts in the Universe | Doraemon the Movie: Nobita's Little Space War | Doraemon the Movie: Nobita's Dorabian Nights | Doraemon the Movie: Nobita and the Haunts of Evil | Doraemon the Movie: Nobita's Great Adventure into the Underworld | Doraemon the Movie: Nobita's New Great Adventure into the Underworld | Doraemon the Movie: Nobita's Diary of the Creation of the World | Doraemon the Movie: Nobita and the Galaxy Super-express | Doraemon the Movie: Nobita's Three Visionary Swordsmen | Doraemon the Movie: Nobita and the Animal Planet | Doraemon the Movie: Nobita and the Spiral City | Doraemon the Movie: Nobita's Dinosaur |  | Crayon Shin-Chan: Den-O vs. Shin-O | Doraemon the Movie: Nobita and the Green Giant Legend |  |  |  |  |  |  |  |  |  |  | Crayon Shin-chan: Serious Battle! Robot Dad Strikes Back |  | Crayon Shin-chan: Fast Asleep! The Great Assault on the Dreaming World! | Doraemon the Movie 2017: Great Adventure in the Antarctic Kachi Kochi |  |  |  | "
2443,468|871|1989|2192|2193|2247|2268|2413|2415|2417|2418|2420|2421|2422|2423|2425|2426|2428|2429|2431|2435|2437|2441|2442|2443|2444|2445|2446|2448|2449|2450|2451|2452|2453|2454|2455|2456|2457|2458|2459|2460|2461|2462|2463|2464|3245|3255|3256|3332|3964|4514|4603|4826|4859|4883|5346|5347|5348|5349|5350|5351|5352|5353|5354|5355|5356|5357|5486|5917|6081|6264|6480|6778|7360|7512|7600|8127|8449|8466|9337|9632|10875|11209|12010|12017|12340|12371|12657|13181|13201|13230|13669|14010," |  | Doraemon the Movie: Nobita and the Windmasters | Doraemon |  |  |  |  |  |  |  |  |  | Doraemon: It's Winter! |  |  |  | Doraemon the Movie: Nobita and the Winged Braves | Doraemon the Movie: Nobita in the Robot Kingdom | Doraemon the Movie: Nobita in the Wan-Nyan Spacetime Odyssey | Doraemon the Movie: Nobita and the Knights on Dinosaurs | Doraemon the Movie: The Record of Nobita's Parallel Visit to the West | Doraemon the Movie: Nobita and the Tin Labyrinth | Doraemon the Movie: Nobita and the Kingdom of Clouds | Doraemon the Movie: The Records of Nobita, Spaceblazer | Doraemon the Movie: Nobita's Great Adventure in the South Seas | Doraemon the Movie: Nobita and the Steel Troops | Doraemon the Movie: Nobita and the Birth of Japan | Doraemon the Movie: Nobita and the Castle of the Undersea Devil | Doraemon the Movie: Nobita Drifts in the Universe | Doraemon the Movie: Nobita's Little Space War | Doraemon the Movie: Nobita's Dorabian Nights | Doraemon the Movie: Nobita and the Haunts of Evil | Doraemon the Movie: Nobita's Great Adventure into the Underworld | Doraemon the Movie: Nobita's New Great Adventure into the Underworld | Doraemon the Movie: Nobita's Diary of the Creation of the World | Doraemon the Movie: Nobita and the Galaxy Super-express | Doraemon the Movie: Nobita's Three Visionary Swordsmen | Doraemon the Movie: Nobita and the Animal Planet | Doraemon the Movie: Nobita and the Spiral City | Doraemon the Movie: Nobita's Dinosaur |  | Crayon Shin-Chan: Den-O vs. Shin-O | Doraemon the Movie: Nobita and the Green Giant Legend |  |  |  |  |  |  |  |  |  |  | Crayon Shin-chan: Serious Battle! Robot Dad Strikes Back |  | Crayon Shin-chan: Fast Asleep! The Great Assault on the Dreaming World! | Doraemon the Movie 2017: Great Adventure in the Antarctic Kachi Kochi |  |  |  | "
2444,468|871|1989|2192|2193|2247|2268|2413|2415|2417|2418|2420|2421|2422|2423|2425|2426|2428|2429|2431|2435|2437|2441|2442|2443|2444|2445|2446|2448|2449|2450|2451|2452|2453|2454|2455|2456|2457|2458|2459|2460|2461|2462|2463|2464|3245|3255|3256|3332|3964|4514|4603|4826|4859|4883|5346|5347|5348|5349|5350|5351|5352|5353|5354|5355|5356|5357|5486|5917|6081|6264|6480|6778|7360|7512|7600|8127|8449|8466|9337|9632|10875|11209|12010|12017|12340|12371|12657|13181|13201|13230|13669," |  | Doraemon the Movie: Nobita and the Windmasters | Doraemon |  |  |  |  |  |  |  |  |  | Doraemon: It's Winter! |  |  |  | Doraemon the Movie: Nobita and the Winged Braves | Doraemon the Movie: Nobita in the Robot Kingdom | Doraemon the Movie: Nobita in the Wan-Nyan Spacetime Odyssey | Doraemon the Movie: Nobita and the Knights on Dinosaurs | Doraemon the Movie: The Record of Nobita's Parallel Visit to the West | Doraemon the Movie: Nobita and the Tin Labyrinth | Doraemon the Movie: Nobita and the Kingdom of Clouds | Doraemon the Movie: The Records of Nobita, Spaceblazer | Doraemon the Movie: Nobita's Great Adventure in the South Seas | Doraemon the Movie: Nobita and the Steel Troops | Doraemon the Movie: Nobita and the Birth of Japan | Doraemon the Movie: Nobita and the Castle of the Undersea Devil | Doraemon the Movie: Nobita Drifts in the Universe | Doraemon the Movie: Nobita's Little Space War | Doraemon the Movie: Nobita's Dorabian Nights | Doraemon the Movie: Nobita and the Haunts of Evil | Doraemon the Movie: Nobita's Great Adventure into the Underworld | Doraemon the Movie: Nobita's New Great Adventure into the Underworld | Doraemon the Movie: Nobita's Diary of the Creation of the World | Doraemon the Movie: Nobita and the Galaxy Super-express | Doraemon the Movie: Nobita's Three Visionary Swordsmen | Doraemon the Movie: Nobita and the Animal Planet | Doraemon the Movie: Nobita and the Spiral City | Doraemon the Movie: Nobita's Dinosaur |  | Crayon Shin-Chan: Den-O vs. Shin-O | Doraemon the Movie: Nobita and the Green Giant Legend |  |  |  |  |  |  |  |  |  |  | Crayon Shin-chan: Serious Battle! Robot Dad Strikes Back |  | Crayon Shin-chan: Fast Asleep! The Great Assault on the Dreaming World! | Doraemon the Movie 2017: Great Adventure in the Antarctic Kachi Kochi |  |  |  | "
2445,468|871|1989|2192|2193|2247|2268|2413|2415|2417|2418|2420|2421|2422|2423|2425|2426|2428|2429|2431|2435|2437|2441|2442|2443|2444|2445|2446|2448|2449|2450|2451|2452|2453|2454|2455|2456|2457|2458|2459|2460|2461|2462|2463|2464|3245|3255|3256|3332|3964|4514|4603|4826|4859|4883|5346|5347|5348|5349|5350|5351|5352|5353|5354|5355|5356|5357|5486|5917|6081|6264|6480|6778|7360|7512|7600|8127|8449|8466|9337|9632|10875|11209|12010|12017|12340|12371|12657|13181|13201|13230|13669," |  | Doraemon the Movie: Nobita and the Windmasters | Doraemon |  |  |  |  |  |  |  |  |  | Doraemon: It's Winter! |  |  |  | Doraemon the Movie: Nobita and the Winged Braves | Doraemon the Movie: Nobita in the Robot Kingdom | Doraemon the Movie: Nobita in the Wan-Nyan Spacetime Odyssey | Doraemon the Movie: Nobita and the Knights on Dinosaurs | Doraemon the Movie: The Record of Nobita's Parallel Visit to the West | Doraemon the Movie: Nobita and the Tin Labyrinth | Doraemon the Movie: Nobita and the Kingdom of Clouds | Doraemon the Movie: The Records of Nobita, Spaceblazer | Doraemon the Movie: Nobita's Great Adventure in the South Seas | Doraemon the Movie: Nobita and the Steel Troops | Doraemon the Movie: Nobita and the Birth of Japan | Doraemon the Movie: Nobita and the Castle of the Undersea Devil | Doraemon the Movie: Nobita Drifts in the Universe | Doraemon the Movie: Nobita's Little Space War | Doraemon the Movie: Nobita's Dorabian Nights | Doraemon the Movie: Nobita and the Haunts of Evil | Doraemon the Movie: Nobita's Great Adventure into the Underworld | Doraemon the Movie: Nobita's New Great Adventure into the Underworld | Doraemon the Movie: Nobita's Diary of the Creation of the World | Doraemon the Movie: Nobita and the Galaxy Super-express | Doraemon the Movie: Nobita's Three Visionary Swordsmen | Doraemon the Movie: Nobita and the Animal Planet | Doraemon the Movie: Nobita and the Spiral City | Doraemon the Movie: Nobita's Dinosaur |  | Crayon Shin-Chan: Den-O vs. Shin-O | Doraemon the Movie: Nobita and the Green Giant Legend |  |  |  |  |  |  |  |  |  |  | Crayon Shin-chan: Serious Battle! Robot Dad Strikes Back |  | Crayon Shin-chan: Fast Asleep! The Great Assault on the Dreaming World! | Doraemon the Movie 2017: Great Adventure in the Antarctic Kachi Kochi |  |  |  | "
2446,468|871|1989|2192|2193|2247|2268|2413|2415|2417|2418|2420|2421|2422|2423|2425|2426|2428|2429|2431|2435|2437|2441|2442|2443|2444|2445|2446|2448|2449|2450|2451|2452|2453|2454|2455|2456|2457|2458|2459|2460|2461|2462|2463|2464|3245|3255|3256|3332|3964|4514|4603|4826|4859|4883|5346|5347|5348|5349|5350|5351|5352|5353|5354|5355|5356|5357|5486|5917|6081|6264|6480|6778|7360|7512|7600|8127|8449|8466|9337|9632|10875|11209|12010|12017|12340|12371|12657|13181|13201|13230|13669," |  | Doraemon the Movie: Nobita and the Windmasters | Doraemon |  |  |  |  |  |  |  |  |  | Doraemon: It's Winter! |  |  |  | Doraemon the Movie: Nobita and the Winged Braves | Doraemon the Movie: Nobita in the Robot Kingdom | Doraemon the Movie: Nobita in the Wan-Nyan Spacetime Odyssey | Doraemon the Movie: Nobita and the Knights on Dinosaurs | Doraemon the Movie: The Record of Nobita's Parallel Visit to the West | Doraemon the Movie: Nobita and the Tin Labyrinth | Doraemon the Movie: Nobita and the Kingdom of Clouds | Doraemon the Movie: The Records of Nobita, Spaceblazer | Doraemon the Movie: Nobita's Great Adventure in the South Seas | Doraemon the Movie: Nobita and the Steel Troops | Doraemon the Movie: Nobita and the Birth of Japan | Doraemon the Movie: Nobita and the Castle of the Undersea Devil | Doraemon the Movie: Nobita Drifts in the Universe | Doraemon the Movie: Nobita's Little Space War | Doraemon the Movie: Nobita's Dorabian Nights | Doraemon the Movie: Nobita and the Haunts of Evil | Doraemon the Movie: Nobita's Great Adventure into the Underworld | Doraemon the Movie: Nobita's New Great Adventure into the Underworld | Doraemon the Movie: Nobita's Diary of the Creation of the World | Doraemon the Movie: Nobita and the Galaxy Super-express | Doraemon the Movie: Nobita's Three Visionary Swordsmen | Doraemon the Movie: Nobita and the Animal Planet | Doraemon the Movie: Nobita and the Spiral City | Doraemon the Movie: Nobita's Dinosaur |  | Crayon Shin-Chan: Den-O vs. Shin-O | Doraemon the Movie: Nobita and the Green Giant Legend |  |  |  |  |  |  |  |  |  |  | Crayon Shin-chan: Serious Battle! Robot Dad Strikes Back |  | Crayon Shin-chan: Fast Asleep! The Great Assault on the Dreaming World! | Doraemon the Movie 2017: Great Adventure in the Antarctic Kachi Kochi |  |  |  | "
2447,2447|2454, | Doraemon the Movie: Nobita Drifts in the Universe
2448,468|871|1989|2192|2193|2247|2268|2413|2415|2417|2418|2420|2421|2422|2423|2425|2426|2428|2429|2431|2435|2437|2441|2442|2443|2444|2445|2446|2448|2449|2450|2451|2452|2453|2454|2455|2456|2457|2458|2459|2460|2461|2462|2463|2464|3245|3255|3256|3332|3964|4514|4603|4826|4859|4883|5346|5347|5348|5349|5350|5351|5352|5353|5354|5355|5356|5357|5486|5917|6081|6264|6480|6778|7360|7512|7600|8127|8449|8466|9337|9632|10875|11209|12010|12017|12340|12371|12657|13181|13201|13230|13669," |  | Doraemon the Movie: Nobita and the Windmasters | Doraemon |  |  |  |  |  |  |  |  |  | Doraemon: It's Winter! |  |  |  | Doraemon the Movie: Nobita and the Winged Braves | Doraemon the Movie: Nobita in the Robot Kingdom | Doraemon the Movie: Nobita in the Wan-Nyan Spacetime Odyssey | Doraemon the Movie: Nobita and the Knights on Dinosaurs | Doraemon the Movie: The Record of Nobita's Parallel Visit to the West | Doraemon the Movie: Nobita and the Tin Labyrinth | Doraemon the Movie: Nobita and the Kingdom of Clouds | Doraemon the Movie: The Records of Nobita, Spaceblazer | Doraemon the Movie: Nobita's Great Adventure in the South Seas | Doraemon the Movie: Nobita and the Steel Troops | Doraemon the Movie: Nobita and the Birth of Japan | Doraemon the Movie: Nobita and the Castle of the Undersea Devil | Doraemon the Movie: Nobita Drifts in the Universe | Doraemon the Movie: Nobita's Little Space War | Doraemon the Movie: Nobita's Dorabian Nights | Doraemon the Movie: Nobita and the Haunts of Evil | Doraemon the Movie: Nobita's Great Adventure into the Underworld | Doraemon the Movie: Nobita's New Great Adventure into the Underworld | Doraemon the Movie: Nobita's Diary of the Creation of the World | Doraemon the Movie: Nobita and the Galaxy Super-express | Doraemon the Movie: Nobita's Three Visionary Swordsmen | Doraemon the Movie: Nobita and the Animal Planet | Doraemon the Movie: Nobita and the Spiral City | Doraemon the Movie: Nobita's Dinosaur |  | Crayon Shin-Chan: Den-O vs. Shin-O | Doraemon the Movie: Nobita and the Green Giant Legend |  |  |  |  |  |  |  |  |  |  | Crayon Shin-chan: Serious Battle! Robot Dad Strikes Back |  | Crayon Shin-chan: Fast Asleep! The Great Assault on the Dreaming World! | Doraemon the Movie 2017: Great Adventure in the Antarctic Kachi Kochi |  |  |  | "
